id,first_name,last_name,phone,email
1,Holt,Eugene,5143890716,customer1@mail.com
2,Holt,Emma,4381117347,customer2@mail.com
3,Holt,Lance,5147014319,customer3@mail.com
4,Lusk,Craig,4381793937,customer4@mail.com
5,Lusk,Pam,5143177783,customer5@mail.com
6,Lusk,Robert,4383892067,customer6@mail.com
7,Lockhart,Sharon,5147288011,customer7@mail.com
8,Zapalac,Irlene,4384379856,customer8@mail.com
9,Gayner,Carol,5144597872,customer9@mail.com
10,Gayner,William,4389727210,customer10@mail.com
11,Breed,Sarah,5149760976,customer11@mail.com
12,Callahan,Andrew,4387585681,customer12@mail.com
13,Callahan,Helen,5144295370,customer13@mail.com
14,Callahan,Mark,4386026214,customer14@mail.com
15,Callahan,Kevin,5141954680,customer15@mail.com
16,Callahan,Elizabeth,4387207781,customer16@mail.com
17,Naylor,Samuel,5142758292,customer17@mail.com
18,Purrington,Roliff,4384836843,customer18@mail.com
19,Purrington,Dianne,5147438302,customer19@mail.com
20,Schneider,J.R.,4387440536,customer20@mail.com
21,Edmond,Joanne,5144490318,customer21@mail.com
22,Fowler,Edward,4387283932,customer22@mail.com
23,Fowler,Kara,5147700095,customer23@mail.com
24,Oxford,Ethan,438295192,customer24@mail.com
25,Oxford,Jan,5147991278,customer25@mail.com
26,Angel,Emil,4382796149,customer26@mail.com
27,Kennady,Bruce,5148840664,customer27@mail.com
28,Kennady,Marla,4384607573,customer28@mail.com
29,Iman,Vijay,5144920154,customer29@mail.com
30,Iman,Cindy,4384955879,customer30@mail.com
31,Iman,Judy,5149162252,customer31@mail.com
32,Vasquez,Melba,4384630802,customer32@mail.com
33,Felps,Mary Ellen,5147294590,customer33@mail.com
34,Fehrenkamp,Steven,4386955253,customer34@mail.com
35,Gele,Steven,5147913519,customer35@mail.com
36,Jester,Jerry,4386774396,customer36@mail.com
37,Hardesty,Wyatt,5149304730,customer37@mail.com
38,Hardesty,Kimberley,4383190069,customer38@mail.com
39,Katz,Marc,5146924213,customer39@mail.com
40,Santiago,Sylvia,4382104071,customer40@mail.com
